# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:37:58; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
timestamp,dut_count,base_count,dut_min,dut_max,dut_avg,jitter,base_min,base_max,base_avg,base_std,base_total_hist,corrected_avg,corrected_min,corrected_max
264.517,1644250445,629562346,2909,202030,3.612908503120399,199121,639,681,650.0185378587877,0.6086233354582559,633418354,1081.646486771754,2258.9814621412124,201379.9814621412
269.016,1671776194,640103188,2909,202030,1.5253405008110792,199121,639,681,650.0185383589949,0.6086314212803638,643839080,1081.646486271547,2258.981461641005,201379.981461641
273.464,1699112031,650576996,2909,202030,2.351488965473637,199121,639,681,650.0185353393567,0.6085817818960064,654440675,1081.9823041737257,2258.9814646606433,201379.98146466064
277.994,1726739495,661151512,2909,202030,2.6581930814062953,199121,639,681,650.0185317434997,0.6085226906347588,665040502,1077.2656557051164,2258.9814682565,201379.9814682565
282.489,1754283559,671702258,2909,202030,1.1159147014499269,199121,639,681,650.01853731755,0.6086140068578215,675473135,1073.5072302636331,2258.98146268245,201379.98146268245
286.923,1781432310,682099688,2909,202030,1.9986463285826448,199121,639,681,650.0185314023847,0.6085168853391636,685860667,1073.5072361787984,2258.9814685976153,201379.9814685976
291.362,1808656080,692524702,2909,202030,3.533186551972888,199121,639,681,650.0185294567486,0.6084848680107672,696483452,1073.5072381244345,2258.9814705432514,201379.98147054325
295.925,1836578848,703218876,2909,202030,1.1480596503091165,199121,639,681,650.0185284217258,0.608467789155871,707219438,1073.5072391594572,2258.981471578274,201379.98147157827
300.539,1864810348,714031514,2909,202030,3.4769373754032813,199121,639,681,650.0185295695856,0.6084865224226342,717837505,1070.9433456830077,2258.9814704304144,201379.98147043042
305.019,1892238169,724533134,2909,202030,3.4481365183792567,199121,639,681,650.0185245678525,0.6084052795248586,728372187,1072.7961086086339,2258.9814754321474,201379.98147543214
309.521,1919856517,735113506,2909,202030,1.7920971580606928,199121,639,699,650.0185260732046,0.6084298730455069,738884050,1070.1038641355788,2258.9814739267954,201379.9814739268
313.973,1947079724,745538654,2909,202030,1.8519719134007067,199121,639,699,650.0185303842541,0.6085022482103559,749334704,1070.1038598245293,2258.981469615746,201379.98146961574
318.408,1974286992,755957227,2909,202030,3.042141971424183,199121,639,699,650.0185309403656,0.6085112492219233,759815731,1070.6381073853377,2258.9814690596345,201379.98146905962
323.646,2006335070,768229284,2909,202030,1.2597400991450545,199121,639,699,650.0185345357212,0.60857008317382,772146668,1071.0763082644617,2258.9814654642787,201379.98146546428
328.193,2034193634,778898684,2909,202030,1.9293052752715478,199121,639,699,650.0185336170683,0.6085548986871071,782908158,1071.0763091831145,2258.9814663829316,201379.98146638295
332.840,2062621938,789787582,2909,202030,1.3261441113402916,199121,639,699,650.0185383165436,0.6086318585322583,793845545,1071.0763044836394,2258.9814616834565,201379.98146168346
337.477,2091008056,800654668,2909,202030,2.2683472420825526,199121,639,699,650.0185323767707,0.6085343279782873,804674985,1071.0763104234122,2258.981467623229,201379.98146762323
342.219,2120073912,811785518,2909,202030,1.7750368926760323,199121,639,699,650.0185308425037,0.60850905164752,815661781,1073.027831079598,2258.9814691574966,201379.9814691575
346.717,2147586460,822321514,2909,202030,2.307115492337384,199121,639,699,650.0185302491586,0.6085000124169029,826130284,1073.2207598763046,2258.9814697508414,201379.98146975084
351.186,2174978042,832813208,2909,202030,2.4407532634759352,199121,639,699,650.0185303337764,0.6085012900040198,836686494,1070.8046954726751,2258.9814696662233,201379.98146966624
355.759,2203026165,843551438,2909,202030,2.276820066728531,199121,639,699,650.0185323605839,0.6085344257822953,847451674,1066.3185060960404,2258.981467639416,201379.98146763942
360.312,2230871838,854217943,2909,202030,3.760640094646262,199121,639,699,650.0185260499073,0.608430800126345,858124645,1073.8969983562206,2258.9814739500925,201379.9814739501
